equipo,cp_llenado,cp_inestabilidad,cp_tasa_cambio,areas_cp,registros_cp,cp_llenado_score,cp_inestabilidad_score,cp_tasa_cambio_score,score_final,explicacion,recomendaciones,categoria,posicion
83,7118.850521615874,351.97973727834574,27699.326207635506,"['PP_NFD', 'IOLOAD', 'totmem', 'CUMOVR', 'OMOVRN', 'TLCONS', 'OMLDAV', 'CPLOAD', 'MAXMEM']",65,52.73,16.36,27.27,32.12,Llenado: 52.7pts | Estabilidad: 16.4pts | Cambios: 27.3pts,Reducir variabilidad CP; Estabilizar cambios CP,Regular,46
26,7118.725384960318,262.51920095998275,30963.3908180451,"['PP_NFD', 'IOLOAD', 'totmem', 'CUMOVR', 'OMOVRN', 'TLCONS', 'OMLDAV', 'CPLOAD', 'MAXMEM']",65,49.09,23.64,21.82,31.516666666666666,Llenado: 49.1pts | Estabilidad: 23.6pts | Cambios: 21.8pts,Mejorar ocupación CP; Reducir variabilidad CP; Estabilizar cambios CP,Regular,47
114,7116.853874319589,151.73454447752857,30940.793944554585,"['PP_NFD', 'IOLOAD', 'totmem', 'CUMOVR', 'OMOVRN', 'TLCONS', 'OMLDAV', 'CPLOAD', 'MAXMEM']",65,20.0,47.27,23.64,30.30333333333333,Llenado: 20.0pts | Estabilidad: 47.3pts | Cambios: 23.6pts,Mejorar ocupación CP; Reducir variabilidad CP; Estabilizar cambios CP,Regular,48
84,7114.503485287301,80.66898226702271,142643.44864324143,"['PP_NFD', 'IOLOAD', 'totmem', 'CUMOVR', 'OMOVRN', 'TLCONS', 'OMLDAV', 'CPLOAD', 'MAXMEM']",65,5.45,81.82,1.82,29.696666666666662,Llenado: 5.5pts | Estabilidad: 81.8pts | Cambios: 1.8pts,Mejorar ocupación CP; Estabilizar cambios CP,Regular,49
24,7118.658412626663,411.257273909238,28712.916836663655,"['PP_NFD', 'IOLOAD', 'totmem', 'CUMOVR', 'OMOVRN', 'TLCONS', 'OMLDAV', 'CPLOAD', 'MAXMEM']",65,47.27,14.55,25.45,29.090000000000003,Llenado: 47.3pts | Estabilidad: 14.6pts | Cambios: 25.4pts,Mejorar ocupación CP; Reducir variabilidad CP; Estabilizar cambios CP,Regular,50
161,7117.642173184921,153.2774573099712,45376.999042575655,"['PP_NFD', 'IOLOAD', 'totmem', 'CUMOVR', 'OMOVRN', 'TLCONS', 'OMLDAV', 'CPLOAD', 'MAXMEM']",65,32.73,41.82,10.91,28.486666666666665,Llenado: 32.7pts | Estabilidad: 41.8pts | Cambios: 10.9pts,Mejorar ocupación CP; Reducir variabilidad CP; Estabilizar cambios CP,Regular,51
81,7117.163925803969,261.79445931816855,26787.405267372094,"['PP_NFD', 'IOLOAD', 'totmem', 'CUMOVR', 'OMOVRN', 'TLCONS', 'OMLDAV', 'CPLOAD', 'MAXMEM']",65,27.27,25.45,32.73,28.483333333333327,Llenado: 27.3pts | Estabilidad: 25.4pts | Cambios: 32.7pts,Mejorar ocupación CP; Reducir variabilidad CP; Estabilizar cambios CP,Regular,52
115,7115.375229300794,154.58248116604253,26119.67637299524,"['PP_NFD', 'IOLOAD', 'totmem', 'CUMOVR', 'OMOVRN', 'TLCONS', 'OMLDAV', 'CPLOAD', 'MAXMEM']",65,7.27,40.0,34.55,27.27333333333333,Llenado: 7.3pts | Estabilidad: 40.0pts | Cambios: 34.5pts,Mejorar ocupación CP; Reducir variabilidad CP; Estabilizar cambios CP,Regular,53
60,7116.056268928572,170.87412885580858,45039.587200509704,"['PP_NFD', 'IOLOAD', 'totmem', 'CUMOVR', 'OMOVRN', 'TLCONS', 'OMLDAV', 'CPLOAD', 'MAXMEM']",65,12.73,34.55,12.73,20.00333333333333,Llenado: 12.7pts | Estabilidad: 34.5pts | Cambios: 12.7pts,Mejorar ocupación CP; Reducir variabilidad CP; Estabilizar cambios CP,Necesita Mejora,54
25,6015.282661481746,460473.538501715,39890.27149129807,"['PP_NFD', 'IOLOAD', 'totmem', 'CUMOVR', 'OMOVRN', 'TLCONS', 'OMLDAV', 'CPLOAD', 'MAXMEM']",65,3.64,3.64,14.55,7.276666666666666,Llenado: 3.6pts | Estabilidad: 3.6pts | Cambios: 14.6pts,Mejorar ocupación CP; Reducir variabilidad CP; Estabilizar cambios CP,Necesita Mejora,55
119,3630.917039051588,648009.194056381,99777.82321784715,"['PP_NFD', 'IOLOAD', 'totmem', 'CUMOVR', 'OMOVRN', 'TLCONS', 'OMLDAV', 'CPLOAD', 'MAXMEM']",65,1.82,1.82,3.64,2.4266666666666667,Llenado: 1.8pts | Estabilidad: 1.8pts | Cambios: 3.6pts,Mejorar ocupación CP; Reducir variabilidad CP; Estabilizar cambios CP,Necesita Mejora,56
